brand_name_similarity,class_type_similarity,abv_similarity,net_contents_similarity,government_warning_similarity,label
0.8051,0.0571,0.9703,0.8844,0.633,Fail
0.9116,0.8947,0.919,0.9459,0.4449,Fail
0.9801,0.9507,0.9424,0.9813,0.9295,Pass
0.9758,0.8865,0.9782,0.9566,0.9224,Pass
0.9787,0.8348,0.9452,0.8191,0.3615,Fail
0.3974,0.9985,0.8234,0.8143,0.9212,Fail
0.9914,0.9783,0.886,0.7771,0.9456,Pass
0.4253,0.8747,0.9872,0.9855,0.9944,Fail
0.1031,0.9388,0.9061,0.9691,0.9986,Fail
0.8841,0.9278,0.2771,0.9874,0.9693,Fail
0.9749,0.8115,0.5305,0.9747,0.9466,Fail
0.891,0.3355,0.9904,0.4155,0.9507,Fail
0.9865,0.7583,0.9679,0.9687,0.7966,Pass
0.9912,0.8149,0.9262,0.8951,0.9681,Pass
0.892,0.9321,0.9661,0.9428,0.1351,Fail
0.898,0.9933,0.9787,0.9928,0.8653,Pass
0.9427,0.833,0.9955,0.8701,0.8431,Pass
0.8987,0.993,0.5068,0.7928,0.9014,Fail
0.9214,0.9851,0.8723,0.9604,0.8833,Pass
0.9121,0.8524,0.9726,0.9607,0.9973,Pass
0.9255,0.8805,0.9638,0.9664,0.7553,Pass
0.9577,0.1618,0.9609,0.9562,0.8702,Fail
0.9221,0.8626,0.9747,0.9994,0.9676,Pass
0.862,0.9537,0.9822,0.9225,0.0625,Fail
0.3275,0.9175,0.8794,0.1052,0.89,Fail
0.8686,0.9716,0.9065,0.9733,0.8981,Pass
0.9162,0.0479,0.9177,0.1556,0.9706,Fail
0.7883,0.9321,0.8766,0.945,0.7211,Pass
0.7633,0.9333,0.9314,0.9534,0.9879,Pass
0.2877,0.0489,0.9849,0.8438,0.9627,Fail
0.7698,0.505,0.9881,0.9888,0.9255,Fail
0.937,0.9911,0.8069,0.9901,0.9272,Pass
0.9338,0.8699,0.8453,0.9658,0.9416,Pass
0.2377,0.8847,0.9604,0.9876,0.9841,Fail
0.9333,0.9616,0.9609,0.8335,0.9036,Pass
0.924,0.8354,0.9827,0.9541,0.4246,Fail
0.9848,0.98,0.7058,0.8948,0.7876,Pass
0.8963,0.8605,0.3374,0.7172,0.9698,Fail
0.9886,0.9738,0.8606,0.895,0.9703,Pass
0.8249,0.9638,0.9648,0.9804,0.8115,Pass
0.9346,0.9217,0.8086,0.9219,0.7905,Pass
0.9696,0.9831,0.8998,0.8769,0.9427,Pass
0.8911,0.9892,0.8571,0.9735,0.9221,Pass
0.8431,0.9424,0.8525,0.9272,0.4359,Fail
0.9805,0.9829,0.9092,0.9638,0.1883,Fail
0.9435,0.9337,0.918,0.9389,0.4794,Fail
0.986,0.9512,0.9628,0.9184,0.8486,Pass
0.2148,0.9585,0.9544,0.9076,0.9468,Fail
0.7842,0.8139,0.9226,0.9802,0.7974,Pass
0.9926,0.9904,0.9099,0.9435,0.9891,Pass
0.9386,0.9739,0.9227,0.9174,0.8972,Pass
0.9796,0.9342,0.8854,0.7596,0.9764,Pass
0.8642,0.9716,0.2448,0.927,0.9798,Fail
0.9532,0.98,0.9118,0.9656,0.9645,Pass
0.987,0.9762,0.9776,0.995,0.9547,Pass
0.9249,0.4352,0.9638,0.9913,0.809,Fail
0.8182,0.9891,0.9439,0.9526,0.9844,Pass
0.9638,0.9793,0.1372,0.9718,0.323,Fail
0.863,0.3306,0.8885,0.9071,0.8369,Fail
0.8467,0.9653,0.8004,0.8897,0.9047,Pass
0.0078,0.2371,0.9462,0.9898,0.9802,Fail
0.8254,0.9595,0.9989,0.9334,0.9203,Pass
0.9457,0.9078,0.8731,0.9816,0.9555,Pass
0.9973,0.2857,0.9476,0.8148,0.9114,Fail
0.9808,0.373,0.9226,0.8446,0.9966,Fail
0.7728,0.6951,0.8361,0.3419,0.3552,Fail
0.9926,0.9645,0.9224,0.8981,0.9749,Pass
0.9148,0.9199,0.9738,0.8569,0.9876,Pass
0.9636,0.974,0.9291,0.9966,0.9613,Pass
0.9204,0.2318,0.9567,0.9791,0.9585,Fail
0.4683,0.8564,0.9964,0.0882,0.933,Fail
0.9833,0.96,0.878,0.9814,0.6732,Fail
0.9591,0.9727,0.917,0.1481,0.8337,Fail
0.9299,0.9733,0.9496,0.3492,0.9192,Fail
0.9955,0.9204,0.9842,0.9261,0.9485,Pass
